1,3
1,5
1,10
1,11
1,12
2,1
2,2
2,4
2,5
2,6
2,7
2,10
2,11
3,1
3,4
3,9
3,10
3,12
3,13
3,14
3,15
4,1
4,2
4,3
4,8
4,10
4,11
4,12
4,15
5,1
5,3
5,7
5,8
5,10
5,11
5,12
5,15
6,2
6,3
6,6
6,10
6,11
7,2
7,4
7,6
7,9
7,11
7,12
7,14
7,15
8,7
8,8
8,9
8,10
8,11
8,12
8,14
8,15
9,1
9,2
9,3
9,5
9,6
9,7
9,9
9,10
9,12
9,13
9,14
9,15
10,1
10,2
10,5
10,8
10,10
10,13
10,14
10,15
11,1
11,4
11,5
11,6
11,7
11,8
11,9
11,12
11,14
11,15
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
12,11
12,13
12,14
12,15
13,3
13,6
13,8
13,11
13,13
13,14
13,15
14,1
14,3
14,4
14,8
14,9
14,13
14,14
15,2
15,6
15,8
15,9
15,11
15,13
15,15
16,2
16,3
16,4
16,8
16,10
16,11
16,12
16,13
16,15
17,1
17,2
17,3
17,5
17,7
17,8
17,9
17,10
17,12
17,14
17,15
18,2
18,3
18,4
18,5
18,9
18,13
18,15
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,10
19,11
19,12
19,14
19,15
20,2
20,3
20,9
20,10
20,11
20,14
21,2
21,3
21,7
21,9
21,10
21,14
21,15
22,3
22,4
22,5
22,10
22,11
22,12
22,13
22,14
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
23,10
23,12
23,13
23,14
24,1
24,3
24,7
24,11
24,12
24,14
25,1
25,3
25,6
25,9
25,11
25,12
25,13
25,14
25,15
26,1
26,2
26,3
26,5
26,8
26,10
26,11
26,12
26,13
26,15
27,2
27,3
27,6
27,10
27,11
27,13
28,2
28,3
28,5
28,7
28,9
28,12
28,13
28,14
29,3
29,5
29,6
29,8
29,11
29,13
30,1
30,2
30,4
30,6
30,7
30,8
30,10
30,15
31,1
31,2
31,4
31,6
31,9
31,10
31,11
31,12
31,14
31,15
32,1
32,3
32,7
32,9
32,11
32,12
32,14
33,1
33,3
33,5
33,6
33,11
33,13
33,15
34,1
34,2
34,4
34,7
34,8
34,13
34,14
