6,1
7,1
8,4
9,2
10,2
11,3
12,3
13,2
14,2
15,1
16,3
17,3
18,1
19,4
20,3
21,3
22,4
23,1
24,3
25,4
26,1
27,3
28,3
29,3
30,4
31,3
32,1
33,3
34,4
35,3
36,2
37,2
38,4
39,3
40,2
41,3
42,1
43,2
44,2
45,4
46,2
47,1
48,1
49,2
50,4
51,2
52,2
53,2
54,2
55,4
56,1
57,4
58,4
59,3
60,1
61,4
62,3
63,3
64,1
65,4
66,1
67,4
68,3
69,1
70,2
71,4
72,4
73,2
74,2
75,4
76,3
77,4
78,1
79,2
80,3
81,4
82,4
83,4
84,2
85,2
86,1
87,3
88,4
89,2
90,3
91,1
92,3
93,2
94,3
95,2
96,4
97,4
98,1
99,3
100,4
101,4
102,4
103,2
104,3
105,4
106,2
107,3
108,3
109,2
110,4
111,2
112,4
113,4
114,3
115,1
116,4
117,1
118,3
119,4
120,4
121,1
122,3
123,1
124,2
125,1
126,3
127,3
128,2
129,1
130,1
131,3
132,1
133,1
134,2
135,1
136,4
137,4
138,1
139,1
140,1
141,1
142,3
143,2
144,3
145,3
146,4
147,1
148,2
149,1
150,1
151,4
152,2
153,2
154,2
155,4
156,1
157,1
158,2
159,1
160,4
161,4
162,2
163,3
164,2
165,2
166,2
167,3
168,1
169,1
170,4
171,4
172,1
173,4
174,2
175,4
176,1
177,3
178,1
179,4
180,4
181,4
182,2
183,4
184,2
185,3
186,4
187,2
188,3
189,2
190,3
191,2
192,1
193,3
194,2
195,4
196,1
197,1
198,4
199,3
200,4
